PLACAS,TAG
672DX5,CVTAF0000145
02AD8E,CVTAF0000076
844AH1,CVTAF0000531
855AH1,CVTAF0000605
020AE9,CVTAF0000190
25AR1F,CVTAF0001057
541AK4,CVTAF0000084
XU77181,CVTAF0000221
059AH2,CVTAF0000113
885DX5,CVTAF0000060
XT36541,CVTAF0000412
504AE2,CVTAF0000124
RE76946,CVTAF0000432
XU73810,CVTAF0000034
619DN1,CVTAF0000522
774DM8,CVTAF0000471
187ES4,CVTAF0000062
128DX4,CVTAF0000628
233ED6,CVTAF0000496
089BW9,CVTAF0000342
307DX5,CVTAF0000490
XW65661,CVTAF0000049
389DJ8,CVTAF0000166
616AK4,CVTAF0000551
132DL3,CVTAF0000864
401DF8,CVTAF0000648
202DM8,CVTAF0000488
650DX6,CVTAF0000379
XT13688,CVTAF0000132
MY10051,CVTAF0000983
XW72844,CVTAF0000333
XU56609,CVTAF0000396
YB9609A,CVTAF0000400
512EZ5,CVTAF0000377
764DS4,CVTAF0000216
XT78510,CVTAF0000557
XW93474,CVTAF0000059
811DX3,CVTAF0000627
XW30771,CVTAF0000228
096AR2,CVTAF0000091
XS22445,CVTAF0000273
XU77076,CVTAF0000635
XW19445,CVTAF0000944
05AD7E,CVTAF0000806
XT77023,CVTAF0000033
291DZ2,CVTAF0000720
SJ82687,CVTAF0000637
XW30529,CVTAF0000492
XW16138,CVTAF0000256
303EW2,CVTAF0000252
065EE5,CVTAF0000972
746DF6,CVTAF0000290
543DL2,CVTAF0000650
XU78366,CVTAF0000314
XU49773,CVTAF0000448
287AU6,CVTAF0000854
322EE5,CVTAF0000978
KY94066,CVTAF0000386
669DX5,CVTAF0000066
XT77206,CVTAF0000571
027AJ2,CVTAF0000800
729AR2,CVTAF0000340
344ED7,CVTAF0000668
670CA1,CVTAF0000815
630AR2,CVTAF0000140
XV43866,CVTAF0000295
XW32028,CVTAF0000235
002EP3,CVTAF0000943
846DM5,CVTAF0000643
139DZ1,CVTAF0000651
603DM2,CVTAF0000855
XW19507,CVTAF0000114
151AR3,CVTAF0000160
SK29342,CVTAF0000553
696ED7,CVTAF0000662
82AD4Y,CVTAF0000534
664AK6,CVTAF0000108
219EZ2,CVTAF0000063
MKZ7911,CVTAF0000401
457DZ1,CVTAF0000684
872AT4,CVTAF0000123
XT79187,CVTAF0000568
XT10694,CVTAF0000237
950FC8,CVTAF0000705
536EF8,CVTAF0000687
822EF7,CVTAF0000675
XT79215,CVTAF0000198
163AU1,CVTAF0000913
192BZ5,CVTAF0000055
XW20818,CVTAF0000369
536ES5,CVTAF0000738
356FC4,CVTAF0000307
303EN1,CVTAF0000786
MHB9485,CVTAF0000862
LB61423,CVTAF0000505
781AG2,CVTAF0000739
14AE9N,CVTAF0000248
948EU8,CVTAF0000135
XT13648,CVTAF0000796
960EU8,CVTAF0001304
XW74581,CVTAF0000260
391ES5,CVTAF0000774
006AF7,CVTAF0000671
XW31131,CVTAF0000320
XW76473,CVTAF0000246
931AR2,CVTAF0000555
XV95575,CVTAF0000658
758DM8,CVTAF0000428
YKK8987,CVTAF0000700
728ET7,CVTAF0000660
531ET7,CVTAF0000977
592DM2,CVTAF0000921
032DD4,CVTAF0000552
XU53890,CVTAF0000179
20983,CVTAF0000099
RH79347,CVTAF0000239
XW87328,CVTAF0000022
XW18166,CVTAF0000835
SRY6825,CVTAF0000422
XT78909,CVTAF0000317
888DW5,CVTAF0000852
WJ04756,CVTAF0000240
SL53277,CVTAF0000363
602ES6,CVTAF0000695
455AS6,CVTAF0000418
YHJ5741,CVTAF0000499
458AE3,CVTAF0000170
XW17125,CVTAF0000263
517EU2,CVTAF0000005
428ES4,CVTAF0000563
YA7109A,CVTAF0001315
XT22515,CVTAF0000298
XW55266,CVTAF0000313
XW32296,CVTAF0000620
LA62869,CVTAF0000309
1XEX601,CVTAF0000402
XT78508,CVTAF0000546
XW76263,CVTAF0000343
VS68818,CVTAF0000868
XU63016,CVTAF0000355
114DH6,CVTAF0000952
XT79034,CVTAF0000168
YKP5625,CVTAF0000790
900AT8,CVTAF0000249
XG7026A,CVTAF0000749
XW23708,CVTAF0000232
60AC7M,CVTAF0000269
77AA3V,CVTAF0000064
930EZ1,CVTAF0000762
XT76742,CVTAF0000271
744EZ2,CVTAF0000208
XW32374,CVTAF0000832
484DX7,CVTAF0000728
XT13650,CVTAF0000574
RE28381,CVTAF0000875
XS27565,CVTAF0000089
XW19092,CVTAF0000057
XB65481,CVTAF0000362
599ES6,CVTAF0000710
722DN5,CVTAF0000805
539AE1,CVTAF0000569
XX07206,CVTAF0000004
404EZ2,CVTAF0000025
XT83474,CVTAF0000227
XU54486,CVTAF0000181
XW29380,CVTAF0000046
301ES6,CVTAF0000836
XW22763,CVTAF0000475
608ET7,CVTAF0000404
YL2137A,CVTAF0000435
970AD9,CVTAF0000419
XV88395,CVTAF0000382
XX24243,CVTAF0000487
RH96160,CVTAF0000373
XW73057,CVTAF0000389
XU70306,CVTAF0000421
XT79318,CVTAF0000182
XX06683,CVTAF0000410
XX15163,CVTAF0000559
68AA5V,CVTAF0000564
390ES4,CVTAF0000088
017DN3,CVTAF0000365
712EZ3,CVTAF0000957
XW28058,CVTAF0000477
XV90843,CVTAF0000383
FMTA3,CVTAF0000097
YJN8521,CVTAF0000811
996EX5,CVTAF0000358
091DN1,CVTAF0000414
07AC5N,CVTAF0000494
543AG4,CVTAF0000955
897AE8,CVTAF0000287
XU16532,CVTAF0000270
XK88559,CVTAF0000872
627EZ6,CVTAF0000359
854DM5,CVTAF0000984
62AD7C,CVTAF0000850
XV44607,CVTAF0000250
57AB9Z,CVTAF0000424
XW44234,CVTAF0000211
44AD6A,CVTAF0000934
XV74773,CVTAF0000394
YKZ8484,CVTAF0000372
XV74258,CVTAF0000406
YJB1488,CVTAF0000516
50AD7E,CVTAF0000312
89AF8A,CVTAF0000783
XW29780,CVTAF0000360
69AA7M,CVTAF0000456
23AC2A,CVTAF0000981
XW29789,CVTAF0000470
XM62992,CVTAF0000759
MWG3754,CVTAF0000917
XU23492,CVTAF0000993
KY65402,CVTAF0000647
673EX5,CVTAF0000176
793EX8,CVTAF0000467
839ES5,CVTAF0000016
H90AJR,CVTAF0000518
XX24142,CVTAF0000416
WN79689,CVTAF0000845
MU83934,CVTAF0000679
915EX8,CVTAF0000870
XX24145,CVTAF0000348
XV43446,CVTAF0000857
XX29495,CVTAF0000329
XX22954,CVTAF0000586
544EZ2,CVTAF0000292
341EW2,CVTAF0000126
486AD8,CVTAF0000840
126ES4,CVTAF0000831
593AG5,CVTAF0000015
XW23774,CVTAF0000411
LB72661,CVTAF0000500
XU16535,CVTAF0000999
1XFC880,CVTAF0000754
XX24183,CVTAF0000879
XX14667,CVTAF0000030
XU63445,CVTAF0000733
61AB9Z,CVTAF0000543
733CX9,CVTAF0000282
XX24146,CVTAF0000332
XX15352,CVTAF0000408
XW78872,CVTAF0000508
XW60997,CVTAF0000409
327YEP,CVTAF0000302
YF2127A,CVTAF0000897
XX06430,CVTAF0000777
XX15230,CVTAF0000725
XW28842,CVTAF0000324
58AB9Z,CVTAF0000480
318DX5,CVTAF0000149
508EZ5,CVTAF0000385
XW76347,CVTAF0000095
926EZ1,CVTAF0000247
670DX5,CVTAF0000065
XX13358,CVTAF0000443
27AC6P,CVTAF0000871
04AC2A,CVTAF0000277
XY00657,CVTAF0000776
VM45940,CVTAF0000788
XW29071,CVTAF0000640
LA95243,CVTAF0000856
59AB9Z,CVTAF0000966
XT53388,CVTAF0000285
XX38036,CVTAF0000638
521AS1,CVTAF0000820
XB72983,CVTAF0000745
53AF8C,CVTAF0000772
095EZ4,CVTAF0000791
XX37799,CVTAF0000834
04AD3H,CVTAF0000841
73AF6L,CVTAF0000631
YLC3367,CVTAF0000611
703EV3,CVTAF0000541
LB83575,CVTAF0000657
38AF8U,CVTAF0000939
WE09555,CVTAF0000803
36AG6A,CVTAF0000859
SJ74160,CVTAF0000985
XX40333,CVTAF0000743
309EX5,CVTAF0000801
866DY2,CVTAF0000756
227EV9,CVTAF0000951
XYS071A,CVTAF0000498
55AD3Z,CVTAF0000965
HC1504A,CVTAF0000923
XU55929,CVTAF0000752
XX31522,CVTAF0000594
308DP4,CVTAF0000489
1XEX570,CVTAF0000524
XT79492,CVTAF0000468
336DL6,CVTAF0000274
02AF1E,CVTAF0000744
HG4379B,CVTAF0000550
1XEX571,CVTAF0000629
XT79287,CVTAF0000579
26AD6A,CVTAF0000979
74AF6L,CVTAF0000956
XL3820A,CVTAF0000849
37AD6A,CVTAF0000722
97AB9Z,CVTAF0000827
1XEX577,CVTAF0000523
XV73975,CVTAF0000812
57AG1G,CVTAF0000945
74AE3N,CVTAF0000714
52AF7R,CVTAF0000980
1XFC885,CVTAF0000755
XT10902,CVTAF0000576
02AB8V,CVTAF0000932
597ES6,CVTAF0000701
XV41833,CVTAF0000741
071EZ4,CVTAF0000663
LA67380,CVTAF0000454
PZJ2744,CVTAF0000339
218EU5,CVTAF0000924
10AD8H,CVTAF0000906
49AE6E,CVTAF0000948
15AB6F,CVTAF0000378
427EV2,CVTAF0000927
XW31556,CVTAF0000006
XW29980,CVTAF0000911
80AB9Z,CVTAF0000686
JP61187,CVTAF0000451
51AD3Z,CVTAF0000539
92AG3A,CVTAF0000949
XT78789,CVTAF0000209
XU74662,CVTAF0000527
XH0209A,CVTAF0000674
71AE3N,CVTAF0000829
XW19323,CVTAF0000889
XS64046,CVTAF0000673
52AF8C,CVTAF0000540
949AE2,CVTAF0000441
XW87452,CVTAF0000760
04AB3N,CVTAF0001000
XN8578A,CVTAF0001291
CX59768,CVTAF0001327
GE3913C,CVTAF0001313
478EZ2,CVTAF0001283
47AG5F,CVTAF0000207
RKZ368A,CVTAF0000961
88AM3L,CVTAF0001330
HG2843C,CVTAF0001158
43AG8H,CVTAF0001176
XT1781A,CVTAF0001512
633AE2,CVTAF0000109
279AK4,CVTAF0000107
612AE2,CVTAF0001083
15AH5D,CVTAF0001056
78AA3V,CVTAF0000120
208AK5,CVTAF0000080
613AK4,CVTAF0000117
876AH1,CVTAF0000164
077AE3,CVTAF0001061
847AH1,CVTAF0000501
666AK5,CVTAF0000630
46AC3J,CVTAF0001075
669AK5,CVTAF0000133
529DZ1,CVTAF0000338
535AK5,CVTAF0000444
456AR2,CVTAF0000115
945AE2,CVTAF0001185
822AC8,CVTAF0001135
48AY9J,CVTAF0001139
NEU3781,CVTAF0000748
XU83875,CVTAF0000242
29AR4J,CVTAF0001201
754AK3,CVTAF0001301
73AF7L,CVTAF0001235
078DN3,CVTAF0000520
015AF7,CVTAF0001938
XT22713,CVTAF0000503
920DX3,CVTAF0000447
662DX2,CVTAF0000185
042DM2,CVTAF0001629
YF6216A,CVTAF0000417
YC0796A,CVTAF0000502
929AK3,CVTAF0000653
374AK6,CVTAF0000436
455AR2,CVTAF0000041
311DR8,CVTAF0001871
457AR2,CVTAF0000042
YC9365A,CVTAF0000259
835CR3,CVTAF0001202
648DT2,CVTAF0000888
283DX5,CVTAF0000087
093AE7,CVTAF0000118
124DT3,CVTAF0002116
744AE1,CVTAF0000131
YG6550A,CVTAF0000388
XY3343A,CVTAF0000027
321BZ4,CVTAF0001639
YFN917B,CVTAF0000050
XU74765,CVTAF0000280
YG6549A,CVTAF0000106
XW23639,CVTAF0000582
131DN4,CVTAF0000043
258ES4,CVTAF0000440
20AD6N,CVTAF0001225
504DM1,CVTAF0000919
783AP4,CVTAF0001872
672DR8,CVTAF0001667
28AR4J,CVTAF0001210
050AJ8,CVTAF0001843
71AP9G,CVTAF0000507
562DL2,CVTAF0001150
87AH7U,CVTAF0001118
329DT1,CVTAF0001523
YK9645A,CVTAF0000058
333DX7,CVTAF0000054
GY4183E,CVTAF0000853
18BJ7A,CVTAF0000987
XV1942A,CVTAF0000014
XW17153,CVTAF0001387
XY3454A,CVTAF0000286
277AU6,CVTAF0001768
XJ4588B,CVTAF0000449
XP8405A,CVTAF0000311
662DX6,CVTAF0000276
XH2361A,CVTAF0001757
YC7887A,CVTAF0000380
XN5893A,CVTAF0000463
73AD4N,CVTAF0001226
XW1347A,CVTAF0000537
20AX5A,CVTAF0001314
692ES3,CVTAF0000009
XK8704B,CVTAF0001733
5XDB24A,CVTAF0000048
583AR2,CVTAF0000361
XP8104A,CVTAF0001265
681AE1,CVTAF0000144
282DX5,CVTAF0000169
097AR2,CVTAF0000129
530DZ1,CVTAF0000476
LF44213,CVTAF0000926
XL0494A,CVTAF0001370
746AR2,CVTAF0001282
91BD8F,CVTAF0001124
963DJ2,CVTAF0001644
866DK1,CVTAF0000327
XL2663A,CVTAF0002087
137AG1,CVTAF0001533
140DJ5,CVTAF0001505
YA0982A,CVTAF0000718
983DM4,CVTAF0000003
XV95880,CVTAF0001297
XZ0904A,CVTAF0000771
YC0808A,CVTAF0000517
XH2408B,CVTAF0000775
511EZ5,CVTAF0001752
395DK9,CVTAF0000012
396AE3,CVTAF0000148
XN3611A,CVTAF0000473
838AP8,CVTAF0001275
691ES3,CVTAF0000010
234ES3,CVTAF0000070
XR35323,CVTAF0000184
096EB2,CVTAF0001722
70AF9S,CVTAF0001205
778DE6,CVTAF0002128
80AS6S,CVTAF0000413
474AK8,CVTAF0001941
93AG6B,CVTAF0001908
930DD7,CVTAF0000403
YHZ8947,CVTAF0000787
XW23778,CVTAF0001106
06AD7E,CVTAF0001149
089AR2,CVTAF0001236
XU76083,CVTAF0000337
031BZ4,CVTAF0000959
27AR4J,CVTAF0001963
XV42416,CVTAF0000266
93AT7C,CVTAF0001635
881AR1,CVTAF0000162
56BB7N,CVTAF0001618
XV40034,CVTAF0000636
48AD7E,CVTAF0000874
XU75392,CVTAF0000483
023AK4,CVTAF0000141
022AK4,CVTAF0000134
YA0792A,CVTAF0001427
YB9575A,CVTAF0000236
52BE7A,CVTAF0001323
XU20155,CVTAF0001680
724DX2,CVTAF0001125
286AR2,CVTAF0001572
052AE9,CVTAF0000071
055AE9,CVTAF0000074
303AK5,CVTAF0000990
YC0994A,CVTAF0000625
719AR2,CVTAF0000863
388ES3,CVTAF0000163
602AR2,CVTAF0000560
879AR1,CVTAF0000086
09AS3T,CVTAF0001051
882AR1,CVTAF0000040
878AR1,CVTAF0000032
11BB1P,CVTAF0000381
126DN4,CVTAF0001970
YB9063A,CVTAF0000243
937AR2,CVTAF0001050
XP2004A,CVTAF0000901
XT40886,CVTAF0000532
485AK5,CVTAF0000807
97AD6E,CVTAF0000158
054AE9,CVTAF0000072
539AR1,CVTAF0000886
70AM8C,CVTAF0000890
561DL2,CVTAF0001274
YG6548A,CVTAF0001021
293AG7,CVTAF0001960
337ES1,CVTAF0001578
XV42318,CVTAF0000758
151DJ9,CVTAF0000156
350AT9,CVTAF0001984
235ES3,CVTAF0000069
868AT4,CVTAF0000036
39AJ4W,CVTAF0001256
47AD7E,CVTAF0001942
XJ4436B,CVTAF0000017
167AT9,CVTAF0001554
56AF9S,CVTAF0000624
495DX2,CVTAF0001276
XT79186,CVTAF0000318
565DL2,CVTAF0001320
YC2103A,CVTAF0000257
908DD7,CVTAF0001904
263ES3,CVTAF0001922
54AS3T,CVTAF0001266
386ES3,CVTAF0001206
15BD6J,CVTAF0001321
YC0576A,CVTAF0000321
YC0561A,CVTAF0000572
XV42417,CVTAF0000479
XW23023,CVTAF0000876
YRA689B,CVTAF0001782
880AR1,CVTAF0000204
YC0581A,CVTAF0000580
347AT9,CVTAF0001811
949FC8,CVTAF0000730
556DL2,CVTAF0001842
XV44530,CVTAF0000101
XU77360,CVTAF0000172
XT13638,CVTAF0000347
XT79282,CVTAF0000197
XV42415,CVTAF0001181
XW23697,CVTAF0000474
22AR4J,CVTAF0001213
152AK2,CVTAF0001968
279ET3,CVTAF0000199
75AZ2P,CVTAF0001659
718AJ9,CVTAF0001475
210ET3,CVTAF0000873
KY82553,CVTAF0000666
342ED7,CVTAF0001786
848ET2,CVTAF0000056
YD0841A,CVTAF0000217
YB9012A,CVTAF0000191
YC9221A,CVTAF0000291
YHH1339,CVTAF0000623
03BG9H,CVTAF0001551
XW29787,CVTAF0000399
448ES4,CVTAF0000940
XR5157A,CVTAF0001361
706ES5,CVTAF0000326
XU54218,CVTAF0000331
965AP2,CVTAF0000423
73AD2Z,CVTAF0000971
249DX7,CVTAF0001806
64AF5E,CVTAF0001649
490EP4,CVTAF0002119
666AN6,CVTAF0001597
XW29788,CVTAF0000334
XY4903A,CVTAF0000699
211AS1,CVTAF0000664
209ET3,CVTAF0000044
450ED4,CVTAF0001519
XW17337,CVTAF0000375
XW17133,CVTAF0000799
148DN2,CVTAF0000283
RK14170,CVTAF0001015
398AE3,CVTAF0000157
743EV5,CVTAF0000513
XV73642,CVTAF0000350
981EU8,CVTAF0000116
XP8406A,CVTAF0000458
339EU5,CVTAF0000670
651DR8,CVTAF0001328
713EV5,CVTAF0000045
956AP4,CVTAF0000994
XW76242,CVTAF0000206
319EW2,CVTAF0000035
321EW2,CVTAF0000322
25AR4J,CVTAF0001214
RX68413,CVTAF0001726
462ES4,CVTAF0001303
056AE9,CVTAF0000075
XV73614,CVTAF0001553
YB9478A,CVTAF0001739
SJ94209,CVTAF0000023
XP7872A,CVTAF0000433
NV6454B,CVTAF0000308
XS26329,CVTAF0000723
674ES1,CVTAF0000697
YD1566A,CVTAF0000659
489ES6,CVTAF0001128
20AX4A,CVTAF0001019
XU95283,CVTAF0000814
YAL326B,CVTAF0000244
706EV5,CVTAF0000137
84AK7L,CVTAF0001653
XP7873A,CVTAF0000229
302ES6,CVTAF0000469
13AX4A,CVTAF0001633
94BG1J,CVTAF0001356
RU6761A,CVTAF0000726
XV73455,CVTAF0000577
389ES4,CVTAF0000019
YD0269A,CVTAF0001404
YM2417A,CVTAF0000680
50AR5N,CVTAF0000967
069ET9,CVTAF0001405
960AR2,CVTAF0000121
004ED3,CVTAF0001514
388ES4,CVTAF0000037
170AM7,CVTAF0000681
XW22007,CVTAF0000514
020EX3,CVTAF0000556
XW01769,CVTAF0000779
